generation,rank_1,rank_2,swapAccepted
524000,3,4,1
525000,1,4,0
526000,2,3,1
527000,1,4,0
528000,3,4,1
529000,1,2,1
530000,1,3,1
531000,1,4,1
532000,1,2,1
533000,1,2,0
534000,1,2,0
535000,2,3,0
536000,1,2,0
537000,1,2,1
538000,1,3,1
539000,1,3,1
540000,2,4,0
541000,2,3,0
542000,3,4,1
543000,1,4,0
544000,2,4,0
545000,1,3,0
546000,3,4,0
547000,1,3,1
548000,1,3,1
549000,1,3,0
550000,1,3,1
551000,2,3,0
552000,1,2,1
553000,2,3,1
554000,1,2,0
555000,2,4,1
556000,3,4,1
557000,1,3,0
558000,1,2,1
559000,1,2,1
560000,1,4,0
561000,1,2,0
562000,1,2,0
563000,2,3,1
564000,3,4,0
565000,1,3,0
566000,1,3,0
567000,2,3,0
568000,2,3,0
569000,1,3,0
570000,1,4,0
571000,1,3,0
572000,1,2,1
573000,2,3,0
574000,2,3,0
575000,1,3,0
576000,1,4,0
577000,1,4,0
578000,1,2,1
579000,2,3,1
580000,1,3,1
581000,2,3,1
582000,2,4,0
583000,1,2,0
584000,1,2,0
585000,2,4,0
586000,1,3,0
587000,2,3,0
588000,1,4,0
589000,1,4,0
590000,2,4,0
591000,1,3,0
592000,3,4,1
593000,2,3,0
594000,2,3,0
595000,3,4,1
596000,1,2,1
597000,1,4,0
598000,2,3,0
599000,1,3,0
600000,1,4,0
601000,2,4,0
602000,2,3,0
603000,1,4,0
604000,2,3,1
605000,1,2,0
606000,3,4,0
607000,1,2,0
608000,1,4,0
609000,1,4,0
610000,3,4,1
611000,3,4,1
612000,1,3,0
613000,1,4,0
614000,1,4,0
615000,3,4,0
616000,2,4,0
617000,2,3,1
618000,1,2,1
619000,3,4,0
620000,1,3,0
621000,1,3,0
622000,1,4,0
623000,1,2,1
624000,2,4,1
625000,1,3,0
626000,3,4,1
627000,3,4,0
628000,2,4,1
629000,1,3,0
630000,3,4,0
631000,2,4,0
632000,2,3,1
633000,3,4,1
634000,2,3,1
635000,2,3,1
636000,1,4,0
637000,1,4,0
638000,1,3,0
639000,2,4,0
640000,3,4,1
641000,2,4,0
642000,1,2,1
643000,1,3,1
644000,1,3,1
645000,2,3,0
646000,3,4,1
647000,1,2,1
648000,1,2,1
649000,1,4,0
650000,2,3,1
651000,3,4,0
652000,2,3,1
653000,2,3,0
654000,2,3,1
655000,1,2,1
656000,2,4,0
657000,2,3,1
658000,1,4,0
659000,1,4,0
660000,3,4,0
661000,2,4,0
662000,2,3,1
663000,3,4,1
664000,1,3,1
665000,1,4,0
666000,3,4,1
667000,1,2,1
668000,1,3,0
669000,1,4,0
670000,1,4,0
671000,2,3,1
672000,2,3,1
673000,1,4,0
674000,1,4,1
675000,2,4,1
676000,1,2,1
677000,1,2,0
678000,1,2,1
679000,2,4,1
680000,1,2,0
681000,1,4,1
682000,2,4,1
683000,3,4,1
684000,3,4,1
685000,2,4,1
686000,1,4,1
687000,1,2,1
688000,2,3,1
689000,2,4,0
690000,3,4,0
691000,1,2,1
692000,3,4,1
693000,2,3,1
694000,1,4,1
695000,1,2,1
696000,1,4,0
697000,1,3,0
698000,1,3,0
699000,1,2,0
700000,2,3,0
701000,2,4,1
702000,1,2,0
703000,2,3,0
704000,3,4,1
705000,3,4,0
706000,1,3,1
707000,1,2,1
708000,1,3,1
709000,3,4,0
710000,3,4,0
711000,3,4,0
712000,3,4,0
713000,3,4,1
714000,2,4,1
715000,1,3,0
716000,1,3,0
717000,1,3,1
718000,2,3,1
719000,1,3,1
720000,1,2,1
721000,3,4,1
722000,1,3,0
723000,3,4,1
724000,2,3,0
725000,1,4,0
726000,1,2,1
727000,1,3,0
728000,2,4,0
729000,2,3,0
730000,1,2,1
731000,1,3,0
732000,2,4,0
733000,2,3,1
734000,3,4,1
735000,1,2,1
736000,3,4,1
737000,1,3,1
738000,1,3,0
739000,2,4,0
740000,2,3,0
741000,3,4,1
742000,1,3,0
743000,2,4,0
744000,1,3,0
745000,3,4,1
746000,2,4,0
747000,3,4,0
748000,2,4,0
749000,1,2,1
750000,2,3,1
751000,1,2,0
752000,2,3,1
753000,1,2,1
754000,3,4,1
755000,2,4,0
756000,2,4,0
757000,1,2,0
758000,3,4,1
759000,3,4,1
760000,2,3,0
761000,1,3,0
762000,2,3,1
763000,1,3,1
764000,1,4,0
765000,2,3,1
766000,3,4,0
767000,1,3,0
768000,2,3,0
769000,2,4,0
770000,2,4,0
771000,2,3,0
772000,1,3,0
773000,1,4,0
774000,3,4,1
775000,1,4,0
776000,1,2,1
777000,3,4,1
778000,3,4,0
779000,2,3,0
780000,3,4,1
781000,2,3,0
782000,2,3,0
783000,1,3,0
784000,3,4,1
785000,1,2,1
786000,1,2,0
787000,1,3,0
788000,3,4,1
789000,1,3,0
790000,1,3,0
791000,1,4,0
792000,1,2,1
793000,3,4,1
