original_name,updated_name
Euponera_sikorae_BBX470_CASENT0347713,Euponera_sikorae_BBX470_CASENT0347713
Euponera_tahary_MAMI0760_CASENT0162397,Euponera_tahary_MAMI0760_CASENT0162397
Euponera_vohitravo_MAMI0762_CASENT0247288,Euponera_vohitravo_MAMI0762_CASENT0247288
Euponera_zoro_MAMI0761_CASENT0045619,Euponera_zoro_MAMI0761_CASENT0045619
Feroponera_ferox_D0951,Feroponera_ferox_D0951_CASENT0102994
Fisheropone_ambigua_EX2727,Fisheropone_ambigua_EX2727_CASENT0295217
Fisheropone_hartwigi_D2066,Fisheropone_hartwigi_D2066_CASENT0217039
Hagensia_havilandi_marleyi_D2452,Hagensia_havilandi_marleyi_D2452_CASENT0888244
Hagensia_peringueyi_D2453,Hagensia_peringueyi_D2453_CASENT0258653
Hagensia_peringueyi_saldanhae_EX2729,Hagensia_peringueyi_saldanhae_EX2729_CASENT0787946
Harpegnathos_MY01_EX2981,Harpegnathos_my01_EX2981_CASENT0389113
Harpegnathos_TH01_EX2979,Harpegnathos_th01_EX2979_CASENT0131698
Harpegnathos_saltator_D0887,Harpegnathos_saltator_D0887_CASENT0179535
Hypoponera_AFRC_TZ06_D2454,Hypoponera_afrc_tz06_D2454_CASENT0819093
Hypoponera_AFRC_ZA05_D2461,Hypoponera_afrc_za05_D2461_CASENT0258310
Hypoponera_AO01_EX2781,Hypoponera_ao01_EX2781_CASENT0128289
Hypoponera_CASC_MZ10_EX2801,Hypoponera_casc_mz10_EX2801_CASENT0781652
Hypoponera_CASC_MZ16_EX2803,Hypoponera_casc_mz16_EX2803_CASENT0785144
Hypoponera_CASC_MZ18_EX2804,Hypoponera_casc_mz18_EX2804_CASENT0777939
Hypoponera_CASC_MZ24_EX2806,Hypoponera_casc_mz24_EX2806_CASENT0782792
Hypoponera_CASC_MZ25_EX2807,Hypoponera_casc_mz25_EX2807_CASENT0776398
Hypoponera_CN01_EX2822,Hypoponera_cn01_EX2822_CASENT0188745
Hypoponera_Dias10_EX3125,Hypoponera_dias10_EX3125_CASENT0650651
Hypoponera_Dias12_EX3116,Hypoponera_dias12_EX3116_CASENT0650635
Hypoponera_Dias14_EX3114,Hypoponera_dias14_EX3114_CASENT0650633
Hypoponera_Dias19_1_EX3121,Hypoponera_dias19_1_EX3121_CASENT0650641
Hypoponera_Dias20_EX3124,Hypoponera_dias20_EX3124_CASENT0650648
Hypoponera_Dias25_EX3123,Hypoponera_dias25_EX3123_CASENT0650645
Hypoponera_Dias27_EX3113,Hypoponera_dias27_EX3113_CASENT0650632
Hypoponera_Fogo07_EX3073,Hypoponera_mj_fogo07_EX3073_CASENT0650370
Hypoponera_JTL002_EX3033,Hypoponera_jtl002_EX3033_CASENT0650256
Hypoponera_JTL003_EX3034,Hypoponera_jtl003_EX3034_JTLC000002246
Hypoponera_JTL006_EX3035,Hypoponera_jtl006_EX3035_CASENT0650257
Hypoponera_JTL008_EX3036,Hypoponera_jtl008_EX3036_CASENT0650254
Hypoponera_JTL010_EX3128,Hypoponera_jtl010_EX3128_CASENT0650662
